Employee Name ,Surname ,Category,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
Emma ,Moyo,C2C,,,,,,,,,,,,,,,,,,,,,,
Olivia,shumba,Maruwa,,,,,,,,,,,,,,,,,,,,,,
Sophia,Mapfumo,Tandara Africa,,,,,,,,,,,,,,,,,,,,,,
Ava,Karipo,Lone Designs ,45,55,45,65,45,5,45,50,100,,,,,,,,,,,,,
Isabella,Mugabe,Mushana ,,,,,,,,,,,,,,,,,,,,,,
Faith,Gave,C2C,,,,,,,,,,,,,,,,,,,,,,
Mia,Ndlovu,Maruwa,,,,,,,,,,,,,,,,,,,,,,
James ,Nhongo,Mushana ,,,,,,,,,,,,,,,,,,,,,,
Ethan,Musaigwa,Tandara Africa,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Kasukuwere,Muchengeti,,,,,,,,,,,,,,,,,,,,,,
Samuel,Jones,Lone Media,,,,,,,,,,,,,,,,,,,,,,
Emma ,Moyo,,,,,,,,,,,,,,,,,,,,,,,
Olivia,shumba,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Mapfumo,,,,,,,,,,,,,,,,,,,,,,,
Ava,Karipo,,,,,,,,,,,,,,,,,,,,,,,
Isabella,Mugabe,,,,,,,,,,,,,,,,,,,,,,,
Faith,Gave,,,,,,,,,,,,,,,,,,,,,,,
Mia,Ndlovu,,,,,,,,,,,,,,,,,,,,,,,
James ,Nhongo,,,,,,,,,,,,,,,,,,,,,,,
Ethan,Musaigwa,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Kasukuwere,,,,,,,,,,,,,,,,,,,,,,,
Samuel,Jones,,,,,,,,,,,,,,,,,,,,,,,
Emma ,Moyo,,,,,,,,,,,,,,,,,,,,,,,
Olivia,shumba,,,,,,,,,,,,,,,,,,,,,,,
Sophia,Mapfumo,,,,,,,,,,,,,,,,,,,,,,,
